TransactionID,Branch,Product,Channel,IncomeBand,OfferType,FeeType,CustomerID,TransactionDate,TransactionValue,RevenueFee,NPSCategory
1,Barcelona,Loan,Online,Low Income,Platinum,Late Payment Fees,1395,05/01/2023,1489,188,Detractor
2,Madrid,Credit Card,Branch,Middle Income,Platinum,Late Payment Fees,4874,09/10/2024,9641,389,Detractor
3,Valencia,Savings Account,Mobile,High Income,Platinum,Insurance Fees,7501,23/01/2023,4756,271,Detractor
4,Barcelona,Checking Account,ATM,Middle Income,Others,Late Payment Fees,5411,17/02/2023,8296,5,Promoter
5,Murcia,Savings Account,ATM,High Income,Student,Insurance Fees,9589,10/02/2024,2605,270,Detractor
6,Valencia,Credit Card,Mobile,High Income,Student,Credit Card Fees,9645,08/07/2023,3814,145,Promoter
7,Valencia,Mortgage,ATM,Low Income,Business,Late Payment Fees,8876,23/05/2024,8602,266,Passive
8,Barcelona,Checking Account,ATM,Middle Income,Platinum,Late Payment Fees,9044,24/08/2024,1241,364,Detractor
9,Zaragoza,Mortgage,ATM,High Income,Business,Late Payment Fees,7372,07/05/2024,1984,372,Passive
10,Murcia,Mortgage,ATM,High Income,Platinum,Insurance Fees,1491,26/08/2024,2880,396,Detractor
11,Barcelona,Credit Card,Branch,Low Income,Others,Insurance Fees,9966,08/12/2024,8757,367,Detractor
12,Murcia,Savings Account,Mobile,Middle Income,Platinum,Insurance Fees,2332,07/01/2024,3727,31,Detractor
13,Murcia,Mortgage,Mobile,Low Income,Platinum,Insurance Fees,4497,30/09/2023,3316,41,Passive
14,Valencia,Loan,ATM,High Income,Platinum,Insurance Fees,4845,26/01/2023,4263,214,Detractor
15,Madrid,Savings Account,ATM,Low Income,Others,Insurance Fees,7358,29/06/2024,1898,67,Promoter
16,Murcia,Checking Account,Mobile,Middle Income,Student,Credit Card Fees,1700,03/11/2023,842,341,Detractor
17,Malaga,Savings Account,Branch,Low Income,Others,Insurance Fees,2715,24/02/2023,4534,403,Promoter
18,Valencia,Credit Card,Online,Middle Income,Platinum,Late Payment Fees,8367,16/06/2023,8035,385,Detractor
19,Zaragoza,Credit Card,Branch,High Income,Platinum,Insurance Fees,7184,20/05/2024,6486,167,Detractor
20,Madrid,Checking Account,Branch,High Income,Others,Insurance Fees,9846,28/09/2024,259,393,Promoter
21,Malaga,Checking Account,Online,Middle Income,Others,Late Payment Fees,5846,11/08/2024,642,326,Passive
